Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402_1005Metric",107.750000,-133.000000,90.000000,top
"C2","100nF","C_0402_1005Metric",125.750000,-133.000000,90.000000,top
"C3","100nF","C_0402_1005Metric",146.750000,-133.000000,90.000000,top
"C4","100nF","C_0402_1005Metric",166.750000,-133.000000,90.000000,top
"C5","100nF","C_0402_1005Metric",141.560000,-113.500000,90.000000,top
"C6","100nF","C_0402_1005Metric",149.180000,-92.500000,270.000000,top
"C7","47uF 10V+","C_1206_3216Metric",106.000000,-124.750000,270.000000,top
"C8","100nF","C_0402_1005Metric",181.120000,-62.000000,90.000000,top
"C9","10nF","C_0402_1005Metric",182.620000,-62.000000,90.000000,top
"C10","47uF 10V 1206","C_1206_3216Metric",182.500000,-59.500000,180.000000,top
"C11","100nF","C_0402_1005Metric",175.650000,-74.000000,180.000000,top
"C12","100nF","C_0402_1005Metric",173.000000,-71.250000,180.000000,top
"C13","100nF","C_0402_1005Metric",184.000000,-74.230000,270.000000,top
"C14","10nF 1kV 0805","C_0805_2012Metric",192.700000,-82.000000,270.000000,top
"C15","100nF","C_0402_1005Metric",111.250000,-65.500000,0.000000,top
"C16","47uF 10V+","C_1206_3216Metric",100.000000,-100.000000,90.000000,top
"D1","RED LED 0603","LED_0603_1608Metric",100.000000,-60.000000,0.000000,top
"GRAPHIC1","LogoLitex","litex_logo",152.200000,-75.000000,0.000000,top
"IC1","74CB3T16211DGGR","SOP50P810X120-56N",109.000000,-140.000000,270.000000,top
"IC2","74CB3T16211DGGR","SOP50P810X120-56N",127.000000,-140.000000,270.000000,top
"IC3","74CB3T16211DGGR","SOP50P810X120-56N",148.000000,-140.000000,270.000000,top
"IC4","74CB3T16211DGGR","SOP50P810X120-56N",168.000000,-140.000000,270.000000,top
"J2","10029449-111RLF (HDMI A)","HDMI_A_Amphenol_10029449-111",189.800000,-70.000000,90.000000,top
"J3","A2541HWR-2x6P (Pmod 2x6 F R)","PinSocket_2x06_P2.54mm_Horizontal",107.000000,-65.500000,0.000000,top
"JAB1","ZTEX_AB-ztex_AB","PinHeader_2x32_P2.54mm_Vertical_For_SeeedStudio",106.000000,-120.000000,90.000000,top
"JCD1","ZTEX_CD-ztex_CD","PinHeader_2x32_P2.54mm_Vertical_For_SeeedStudio",106.000000,-88.250000,90.000000,top
"R1","0","R_0402_1005Metric",181.280000,-144.000000,270.000000,top
"R2","680","R_0402_1005Metric",103.500000,-60.000000,180.000000,top
"R3","1M 500V 1206","R_1206_3216Metric",191.237500,-59.000000,180.000000,top
"R4","10k","R_0402_1005Metric",174.760000,-133.000000,180.000000,top
"U1","TPD12S016PWR","SOP65P640X120-24N",179.000000,-68.325000,0.000000,top
