Part/Designator,Manufacture Part Number/Seeed SKU,Quantity,URL,LCSC ref
"R1,R4",0402WGF1002TCE,2,,
R2,0402WGF6800TCE,1,,
J2,10029449-111RLF,1,https://www.lcsc.com/product-detail/D-Sub-DVI-HDMI-Connectors_Amphenol-ICC-10029449-111RLF_C427307.html,
"JAB1,JCD1",77313-824-64LF,2,,
C14,C0805X103K501T,1,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_IHHEC-HOLY-STONE-ENTERPRISE-CO-LTD-C0805X103K501T_C105950.html,
C9,CL05B103KB5NNNC,1,,
"C1,C2,C3,C4,C5,C6,C8,C11,C12,C13,C15",CL05B104KO5NNNC,11,,
"C7,C10,C16",CL31A476MPHNNNE,3,https://www.lcsc.com/product-detail/Multilayer-Ceramic-Capacitors-MLCC-SMD-SMT_Samsung-Electro-Mechanics-CL31A476MPHNNNE_C96123.html,
J3,DW254W-22-12-85,1,,
R3,HR1206J1M00P05Z,1,https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_Ever-Ohms-Tech-HR1206J1M00P05Z_C175518.html,
D1,KT-0603R,1,,
"IC1,IC2,IC3,IC4",SN74CB3T16211DGGR,4,,
U1,TPD12S016PWR,1,https://lcsc.com/product-detail/Interface-Specialized_Texas-Instruments-TPD12S016PWR_C201665.html,
